society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,extra_rooms,floorNum,agePossession,built_up_area,furnishing_type,luxury_score
maa bhagwati residency,0.45,sector 7,4500.0,2,2,1,0,4,Relatively New,1000.0,0,28
apna enclave,0.5,sector 3,6925.207756232687,2,2,1,0,1,Old Property,722.0,2,37
tulsiani easy in homes,0.4,sohna road,6051.437216338881,2,2,3,0,12,New Property,661.0,0,36
smart world orchard,1.47,sector 61,11027.756939234809,2,2,2,1,2,Under Construction,1333.0,0,76
parkwood westend,0.7,sector 92,5751.848808545604,2,2,3,1,5,Under Construction,1217.0,0,0
signature global infinity mall,0.41,sector 36,6269.113149847094,2,2,3,0,3,New Property,654.0,0,0
the cocoon,2.0,dwarka expressway,14738.393515106853,3,3,3,0,5,New Property,1357.0,0,0
ats triumph,1.8,sector 104,7075.471698113208,3,4,3,0,14,New Property,2544.0,0,60
vatika xpressions,1.1,sector 88b,8148.148148148148,2,4,3+,1,2,Under Construction,1350.0,0,58
raheja revanta,4.75,sector 78,16885.8869534305,3,3,2,1,31,Under Construction,2813.0,0,100
signature global city 81,0.96,sector 81,8040.201005025126,2,2,2,0,1,Under Construction,1194.0,0,49
hcbs sports ville,0.29,sohna road,5025.996533795494,2,2,1,0,4,Relatively New,577.0,0,44
supertech araville,1.35,sector 79,6247.107820453493,3,3,3,0,4,Relatively New,2161.0,0,0
godrej,0.95,sector 33,7581.803671189146,2,2,3+,0,3,Under Construction,1253.0,0,0
shree vardhman flora,0.7,sector 90,5952.380952380952,2,2,3,1,13,New Property,1176.0,0,15
sobha city,3.95,sector 108,16858.72812633376,4,5,3,0,25,Relatively New,2343.0,0,59
senate court,0.9,sector 62,14084.507042253521,1,1,0,0,0,Relatively New,639.0,0,0
shapoorji pallonji joyville gurugram,1.05,sector 102,10324.48377581121,2,2,2,0,0,Under Construction,1017.0,0,49
central park flower valley,2.2,sector 33,11578.947368421053,3,3,3,1,12,New Property,1900.0,2,49
smart world gems,1.01,sector 89,8238.172920065253,2,2,2,1,4,Under Construction,1226.0,0,38
bestech altura,1.85,sector 79,9506.680369989723,3,4,3+,1,11,New Property,1946.0,0,49
smart world gems,0.86,sector 89,8617.234468937875,2,3,3,0,4,Under Construction,998.0,0,45
emaar imperial gardens,1.85,sector 102,8222.222222222223,3,3,3+,1,0,Relatively New,2250.0,2,95
la vida by tata housing,2.85,sector 113,14207.377866400797,3,3,3+,1,10,New Property,2006.0,0,72
the serenas,0.42,sector 36,7118.64406779661,2,2,1,0,3,New Property,590.0,0,0
m3m golfestate,6.15,sector 65,18330.84947839046,3,4,2,0,20,Relatively New,3355.0,0,34
central park resort belgravia residences,6.25,sector 48,19531.25,3,5,3+,1,5,Moderately Old,3200.0,2,49
apex builders,0.42,sector 37c,5042.016806722689,2,2,2,0,4,Relatively New,833.0,0,42
godrej habitat,1.35,sector 3,12784.09090909091,2,2,0,0,4,Old Property,1056.0,0,60
ompee k s residency,1.6,sector 110,26936.026936026938,2,2,2,0,1,Relatively New,594.0,0,0
bhawna cghs,3.25,sector 43,10433.38683788122,4,4,3+,1,12,Moderately Old,3115.0,2,119
adani aangan arcade,0.45,sector 88a,6474.820143884892,2,2,1,0,8,New Property,695.0,0,14
sare green parc,0.85,sector 92,6538.461538461538,3,2,2,0,20,Relatively New,1300.0,0,0
shree vardhman flora,0.75,sector 90,5193.9058171745155,2,2,3,0,8,Relatively New,1444.0,0,60
supertech hues,0.82,sector 68,7677.902621722846,2,2,3+,1,21,Under Construction,1068.0,0,72
chintels paradiso,1.8,sector 109,9424.083769633507,3,3,2,1,0,Moderately Old,1910.0,0,83
breez global hill view,0.3,sohna road,4958.677685950413,2,2,2,0,6,New Property,605.0,0,109
ild greens,0.78,sector 37c,7302.687014324502,2,2,3,0,1,Moderately Old,1068.1,2,103
ansal sushant lok ci,2.0,sector 43,13633.265167007497,3,3,2,1,1,Old Property,1467.0,1,15
ashiana mulberry,0.74,sohna road,5505.952380952381,2,2,3+,0,12,New Property,1344.0,0,67
godrej meridien,3.2,sector 106,14388.489208633093,3,3,3+,1,6,Under Construction,2224.0,0,49
mapsko casa bella,1.3,sector 82,7328.072153325817,4,4,3+,1,1,Relatively New,1774.0,0,130
pooja apartment,0.25,sector 3 phase 3 extension,3213.367609254499,2,2,2,0,2,Relatively New,778.0,0,0
signature global park,0.95,sohna road,7846.505827063012,3,2,3+,0,1,Relatively New,1210.73,0,46
dlf new town heights,1.99,sector 90,6567.656765676567,4,4,3+,2,9,Relatively New,3030.0,2,102
paras dews,1.05,sector 106,6822.612085769981,2,2,2,0,5,New Property,1539.0,0,97
godrej air,1.83,sector 85,9005.905511811023,3,3,3+,0,18,Under Construction,2032.0,0,110
dlf the primus,2.25,sector 82a,9644.234890698672,3,3,3+,1,29,Relatively New,2333.0,1,72
emaar mgf emerald floors premier,2.8,sector 65,15275.504637206765,3,3,3+,2,3,Relatively New,1833.0,2,38
dlf regency park,1.6,sector 28,13093.289689034369,2,2,2,0,3,Relatively New,1222.0,0,52
supertech araville,0.83,sector 79,4882.35294117647,2,2,3,1,5,New Property,1700.0,1,49
signature global park,0.83,sohna road,6672.025723472669,3,2,2,0,1,New Property,1244.0,0,16
maxworth city residences,0.8,sector 10a,5759.539236861051,2,3,2,0,9,New Property,1389.0,0,46
deepak minda,1.25,manesar,4243.0414120841815,4,4,3+,0,6,Moderately Old,2946.0,2,44
shree shyam residency,0.23,block a sector 21,4500.978473581214,1,1,1,0,2,Relatively New,511.0,0,9
pivotal devaan,0.3,sector 84,6000.0,1,1,1,0,14,New Property,500.0,2,22
unitech the residences,1.55,sector 33,10907.811400422237,3,4,1,1,1,Relatively New,1421.0,0,37
chd avenue,0.79,sector 71,7287.822878228782,2,2,2,1,8,Relatively New,1084.0,0,0
"gokuldham society, bahadurgarh",0.5,sector-7 hous,6067.961165048544,2,2,2,1,2,Moderately Old,824.0,0,0
silverglades the melia,1.01,sohna road,8530.405405405405,2,2,3,1,12,Under Construction,1184.0,0,80
sare crescent parc royal greens phase 1,0.95,sector 92,5532.90623179965,4,5,3+,1,4,Moderately Old,1717.0,0,37
umang winter hills,0.99,sector 77,8792.184724689165,2,2,2,0,1,Relatively New,1126.0,0,97
ramprastha skyz,1.1,sector 37d,7046.764894298527,3,3,3+,0,7,Under Construction,1561.0,0,109
4s aradhya homes,1.9,sector 67a,9542.943244600703,4,4,3,0,3,New Property,1991.0,2,62
ild greens,1.0,sector 37c,5892.751915144372,3,3,3+,0,5,Under Construction,1697.0,0,51
bptp freedom park life,2.5,sector 57,12278.978388998035,3,3,3,0,9,Moderately Old,2036.0,0,55
godrej habitat,1.1,sector 3,11506.276150627615,2,2,2,0,14,Under Construction,956.0,0,60
ramsons kshitij,0.29,sector 95,5719.921104536489,2,2,2,0,14,Relatively New,507.0,0,50
sidhartha ncr one,0.55,sector 95,5555.555555555556,2,2,3,0,15,New Property,990.0,0,0
raheja sampada,0.65,sector 92,5241.935483870968,3,2,3,0,6,Relatively New,1240.0,0,49
signature the serenas,0.5,sohna road,8460.236886632825,2,2,2,0,6,New Property,591.0,0,37
pareena laxmi apartments,0.32,sector 99a,5545.927209705373,2,2,1,0,2,New Property,577.0,0,43
satya the hermitage,0.93,sector 103,5765.654060756355,2,3,3,1,3,Relatively New,1613.0,2,90
smart world gems,1.2,sector 89,7590.132827324478,3,3,2,0,2,New Property,1581.0,0,44
gls arawali homes,0.3,sohna road,4219.4092827004215,2,2,2,0,4,Relatively New,711.0,0,42
signature global park,0.56,sohna road,6133.6254107338455,2,2,3,0,3,New Property,913.0,0,111
bestech park view city,2.7,sector 49,13817.809621289662,3,4,3+,0,6,Moderately Old,1954.0,0,0
shree vardhman flora,1.0,sector 90,5665.7223796033995,3,4,3,1,8,New Property,1765.0,0,95
afnhb jalvayu vihar,1.45,sector 30,11153.846153846154,3,2,2,0,2,Old Property,1300.0,1,75
m3m soulitude,1.25,sector 89,8784.258608573437,3,3,0,0,4,New Property,1423.0,0,61
emaar mgf palm terraces,4.5,sector 66,13550.135501355013,5,5,3+,1,11,New Property,3321.0,0,105
anamika enclave,0.64,sector 15 part 1,7071.823204419889,2,2,1,0,1,New Property,905.0,0,0
hcbs sports ville,0.28,sohna road,3768.5060565275917,2,2,1,0,11,Relatively New,743.0,0,38
puri the aravallis,3.87,sector 61,22605.140186915887,3,4,3+,1,21,Under Construction,1712.0,0,58
brisk lumbini terrace homes,1.38,sector 109,5704.8367093840425,3,3,1,0,4,Moderately Old,2419.0,0,20
huda ashok vihar phase,0.43,sector 4,5955.678670360111,2,2,1,0,2,Relatively New,722.0,0,7
my home,0.28,sector 110,2800.0000000000005,2,1,1,1,2,Relatively New,1000.0,0,15
signature global city,1.1,sector 37d,8856.682769726249,2,2,2,0,4,Relatively New,1242.0,0,59
m3m heights,2.0,sector 65,13956.734124214934,2,2,2,0,32,Relatively New,1433.0,0,48
signature global park,0.9,sohna road,8875.739644970414,3,2,2,0,2,Under Construction,1014.0,0,144
signature global park,0.9,sohna road,8035.714285714285,3,2,0,0,2,Under Construction,1120.0,0,58
godrej nature plus,1.75,sector 33,8767.53507014028,3,3,0,0,2,Under Construction,1996.0,0,56
supertech hues,0.93,sector 68,7750.0,2,2,2,0,11,New Property,1200.0,0,0
dlf new town heights,1.8,sector 90,7293.354943273906,4,4,3+,0,23,Moderately Old,2468.0,0,67
central park flower valley aqua front towers,2.1,sector 33,12970.969734403952,3,3,2,0,6,Under Construction,1619.0,0,24
ambience creacions,2.0,sector 22,13046.31441617743,2,2,2,0,9,Relatively New,1533.0,0,49
signature global city 63a,2.0,sector 63a,12987.012987012988,3,3,2,0,1,Under Construction,1540.0,0,36
godrej oasis,1.29,sector 88a,7856.272838002436,3,3,3,2,5,New Property,1642.0,0,65
m3m skycity,2.85,sector 65,17230.955259975817,3,3,3,0,43,Under Construction,1654.0,0,115
supertech araville,1.1,sector 79,5076.1421319796955,3,3,3,0,1,Relatively New,2167.0,2,106
smart world orchard,1.65,sector 61,12378.094523630907,2,2,2,1,1,Under Construction,1333.0,0,16
hcbs sports ville,0.24,sohna road,6666.666666666667,1,1,2,0,1,New Property,360.0,0,68
emaar palm premier,2.1,sector 77,13125.0,3,4,3+,1,11,New Property,1600.0,2,129
godrej nature plus,1.9,sector 33,8866.075594960335,3,3,3+,1,14,New Property,2143.0,0,96
godrej aria,1.1,sector 79,11482.254697286013,2,2,3,0,9,New Property,958.0,0,62
ramsons kshitij,0.32,sector 95,5683.836589698046,2,2,1,1,8,Relatively New,563.0,1,28
conscient one,1.7,sector 109,17616.58031088083,1,1,2,0,9,Relatively New,965.0,0,0
pareena laxmi apartments,0.32,sector 99a,6765.327695560254,2,2,2,0,2,New Property,473.0,0,50
pyramid elite,0.45,sector 86,6965.94427244582,2,2,1,0,4,Under Construction,646.0,0,66
raheja revanta,1.2,sector 78,14580.801944106926,1,2,2,0,32,Under Construction,823.0,0,39
m3m skycity,2.1,sector 65,17706.576728499156,2,2,2,0,43,New Property,1186.0,0,127
not applicable,0.42,sector 4,5042.016806722689,2,2,1,0,3,Relatively New,833.0,2,26
godrej nature plus,1.55,sector 33,8959.537572254336,3,2,3+,0,8,New Property,1730.0,0,43
ramprastha city,1.3,dwarka expressway,9976.97620874904,3,3,2,0,3,Under Construction,1303.0,0,0
smartworld 1dxp,2.75,sector 113,9528.759528759529,4,4,3+,3,20,Under Construction,2886.0,1,57
ansal housing highland park,1.25,sector 103,8538.25136612022,3,3,3+,1,2,New Property,1464.0,0,105
czar mahira homes 63a,0.42,sector 63a,6666.666666666667,3,2,2,0,1,Under Construction,630.0,0,0
breez global heights,0.4,sohna road,6504.065040650406,2,2,1,0,4,New Property,615.0,0,49
trisara our homes 3,0.34,sohna road,4864.09155937053,2,2,1,0,0,New Property,699.0,0,0
m3m soulitude,1.25,sector 89,9704.968944099379,3,3,3,2,3,New Property,1288.0,0,61
emaar mgf palm hills,1.5,sector 77,11450.381679389313,3,3,3,0,4,Relatively New,1310.0,2,97
ramprastha city,1.3,dwarka expressway,10260.45777426993,3,3,2,0,3,Under Construction,1267.0,0,0
pareena coban residences,1.6,sector 99a,8839.779005524862,3,3,3,0,6,Under Construction,1810.0,0,0
la vida by tata housing,1.5,sector 113,10578.279266572637,2,2,2,0,13,New Property,1418.0,0,71
la vida by tata housing,1.5,sector 113,12987.012987012988,2,2,2,0,13,New Property,1155.0,0,60
godrej summit premia towers,0.9,sector 104,7148.530579825258,2,2,0,0,16,Relatively New,1259.0,0,0
ardee city,1.5,sector 52,10107.816711590296,4,4,3,0,3,Old Property,1484.0,0,65
m3m one key resiments,0.8,sector 67,13114.754098360656,1,1,0,0,0,Relatively New,610.0,0,0
ansal heights 86,1.25,sector 86,8175.277959450621,3,2,1,0,11,New Property,1529.0,0,45
mvn athens,0.26,sohna road,4859.813084112149,2,2,1,0,2,Relatively New,535.0,0,37
signature the serenas,0.42,sohna road,7118.64406779661,2,2,1,0,12,New Property,590.0,2,54
sushant lok 1 builder floors,2.5,sector 43,12919.896640826873,3,3,2,0,2,New Property,1935.0,0,0
umang monsoon breeze,0.9,sector 78,4736.8421052631575,3,3,2,2,1,Moderately Old,1900.0,0,65
gls avenue 51,0.42,sector 92,6392.6940639269405,2,2,1,2,4,Relatively New,657.0,2,42
signature global solera,0.5,sector 107,10121.457489878543,2,2,1,0,11,Relatively New,494.0,0,55
supertech araville,0.9,sector 79,6206.896551724138,2,2,3,1,5,Relatively New,1450.0,0,53
greenopolis,1.3,sector 89,6126.295947219604,3,3,3+,1,1,New Property,2122.0,0,35
central park flower valley aqua front towers,1.7,sector 33,10500.308832612724,3,3,3,0,12,Under Construction,1619.0,0,24
sare homes,1.25,sector 92,6127.450980392156,4,3,0,0,16,Under Construction,2040.0,0,49
vatika sovereign next sector-82 a gurgaon,2.91,sector 82a,7457.713992824193,4,4,3,3,6,Under Construction,3902.0,2,79
bhagwati sadan,1.15,sector 12,5750.0,3,4,2,3,2,Old Property,2000.0,2,28
smart world gems,1.2,sector 89,11278.195488721805,3,3,3,2,3,Under Construction,1064.0,0,131
micasa sec 68,1.5,sohna road road,11021.307861866275,2,2,3,0,11,New Property,1361.0,0,44
eldeco accolade,1.3,sohna road,8614.976805831677,3,3,3+,0,10,Relatively New,1509.0,0,49
hero homes,1.75,sector 104,11445.38914323087,3,3,3,0,2,Under Construction,1529.0,0,30
shyam sadan,0.55,sector 3 phase 2,7069.408740359897,2,2,1,1,4,Relatively New,778.0,2,69
m3m heights,2.5,sector 65,15114.873035066505,3,3,3,0,19,Under Construction,1654.0,0,48
hanumanta apartment,0.43,rajiv colony,5866.302864938609,2,2,1,0,1,Moderately Old,733.0,0,7
supertech hilltown,0.8,sector 2,5555.555555555556,3,2,3,0,8,Moderately Old,1440.0,0,0
ashiyara 2,0.45,garauli kalan,4972.375690607735,3,3,2,0,18,Under Construction,905.0,0,0
raheja vedaanta,0.7,sector 108,4768.392370572207,2,2,1,0,10,Moderately Old,1468.0,0,0
bptp terra,1.95,sector 37d,11818.181818181818,4,3,3,0,7,Under Construction,1650.0,0,53
green court,0.45,sector 90,6465.517241379311,2,2,1,0,2,New Property,696.0,2,42
m3m golf hills phase 1,1.7,sector 79,10828.025477707006,3,2,3,0,10,Relatively New,1570.0,0,0
abhinav group housing society,1.1,bhawani enclave,5500.0,3,2,3,0,5,Old Property,2000.0,0,42
pyramid urban homes 2,0.5,sector 86,8650.519031141868,2,2,1,0,10,Relatively New,578.0,0,15
m3m heights,2.8,sector 65,16928.657799274486,3,3,3,0,20,Under Construction,1654.0,0,91
godrej nature plus,1.45,sector 33,15658.747300215982,3,2,3+,1,20,Under Construction,926.0,0,144
smart world orchard,2.2,sector 61,12147.98453892877,3,3,2,0,3,Under Construction,1811.0,0,16
ashiana anmol,0.9,sohna road,8144.796380090498,2,2,2,0,13,Relatively New,1105.0,1,120
signature signum 95a,0.4,sector 95,7005.253940455342,2,2,2,0,3,New Property,571.0,2,44
umang winter hills,1.35,sector 77,9303.928325292902,3,3,3+,1,7,New Property,1451.0,2,96
aardhya homesh,1.85,sector 67a,7237.871674491393,4,4,0,0,4,New Property,2556.0,0,0
rof ananda,0.25,sector 95,7267.441860465116,1,1,1,0,4,New Property,344.0,0,0
smart world gems,0.88,sector 89,7166.123778501628,2,2,3,1,2,New Property,1228.0,0,44
assotech blith,1.15,sector 99,9311.74089068826,2,2,2,1,2,New Property,1235.0,2,72
essel tower,1.6,iffco chowk,13468.013468013469,3,3,3,0,4,Moderately Old,1188.0,0,46
raheja vanya,0.85,sector 99a,7502.206531332745,2,2,2,0,3,New Property,1133.0,0,43
vatika inxt floors,0.75,sector 82a,7500.0,2,2,2,0,1,Relatively New,1000.0,0,0
palam vihar society,3.35,sector 2,6700.0,4,4,3+,1,2,New Property,5000.0,0,66
godrej oasis,1.5,sector 88a,8960.57347670251,3,3,3+,0,11,New Property,1674.0,0,39
dlf new town heights,1.65,sector 91,7713.884992987378,4,4,3+,1,11,Moderately Old,2139.0,0,72
dlf new town heights,2.0,sector 91,8103.727714748785,4,4,3+,3,16,Moderately Old,2468.0,0,65
sonata group housing society sector 1 manesar,1.75,near sector 1 market,5625.200900032144,4,4,3,1,8,New Property,3111.0,0,29
supertech hues,0.9,sector 68,6864.988558352403,2,2,2,0,1,New Property,1311.0,0,44
krrish florence estate,1.25,sector 70,7405.21327014218,3,3,3,0,18,Under Construction,1688.0,0,51
piedmont taksila heights,1.0,sector 37c,5854.80093676815,3,3,3+,0,8,Relatively New,1708.0,2,49
experion heartsong,1.08,dwarka expressway,6143.344709897611,3,3,0,0,6,Under Construction,1758.0,0,0
ss the leaf,2.15,sector 85,9866.911427260211,3,5,3,0,2,New Property,2179.0,0,53
m3m urbana,1.0,sector 67,12106.537530266343,1,1,1,0,17,Relatively New,826.0,0,49
aipl zen residences,1.65,sector 70a,14448.336252189141,2,2,3,0,23,New Property,1142.0,0,81
dlf regal gardens,1.79,sector 90,7273.466070702966,4,3,3+,0,10,Moderately Old,2461.0,0,63
godrej air,1.8,sector 85,13138.686131386861,3,3,3,0,30,Under Construction,1370.0,0,45
suncity vatsal valley,1.45,gwal pahari,10139.86013986014,3,3,3,0,4,Under Construction,1430.0,0,49
shree shyam residency,0.22,block a sector 21,4206.500956022945,1,1,1,0,2,Relatively New,523.0,0,0
project krishna colony,0.36,sector 7,5142.857142857143,2,2,1,0,0,Relatively New,700.0,0,0
mvn athens,0.25,sohna road,4258.943781942078,2,2,1,0,0,Relatively New,587.0,0,38
m3m antalya hills,1.15,sector 79,9583.333333333334,3,3,3+,1,1,Under Construction,1200.0,0,51
central park flower valley,1.65,sohna road road,15699.333967649858,3,3,0,0,1,New Property,1051.0,0,66
m3m capital,2.9,sector 113,11359.185272228751,4,4,3+,2,11,Under Construction,2553.0,0,49
