price,sector,built_up_area,bedRoom,bathroom,balcony,extra_rooms,agePossession,furnishing_type,luxury_category,floor_category
0.45,sector 7,1000.0,2,2,1,0,Relatively New,0,Low,Mid Floor
0.5,sector 3,722.0,2,2,1,0,Old Property,2,Low,Low Floor
0.4,sohna road,661.0,2,2,3,0,New Property,0,Low,High Floor
1.47,sector 61,1333.0,2,2,2,1,Under Construction,0,Medium,Low Floor
0.7,sector 92,1217.0,2,2,3,1,Under Construction,0,Low,Mid Floor
0.41,sector 36,654.0,2,2,3,0,New Property,0,Low,Mid Floor
2.0,dwarka expressway,1357.0,3,3,3,0,New Property,0,Low,Mid Floor
1.8,sector 104,2544.0,3,4,3,0,New Property,0,Medium,High Floor
1.1,sector 88b,1350.0,2,4,3+,1,Under Construction,0,Medium,Low Floor
4.75,sector 78,2813.0,3,3,2,1,Under Construction,0,Medium,High Floor
0.96,sector 81,1194.0,2,2,2,0,Under Construction,0,Low,Low Floor
0.29,sohna road,577.0,2,2,1,0,Relatively New,0,Low,Mid Floor
1.35,sector 79,2161.0,3,3,3,0,Relatively New,0,Low,Mid Floor
0.95,sector 33,1253.0,2,2,3+,0,Under Construction,0,Low,Mid Floor
0.7,sector 90,1176.0,2,2,3,1,New Property,0,Low,High Floor
3.95,sector 108,2343.0,4,5,3,0,Relatively New,0,Medium,High Floor
0.9,sector 62,639.0,1,1,0,0,Relatively New,0,Low,Low Floor
1.05,sector 102,1017.0,2,2,2,0,Under Construction,0,Low,Low Floor
2.2,sector 33,1900.0,3,3,3,1,New Property,2,Low,High Floor
1.01,sector 89,1226.0,2,2,2,1,Under Construction,0,Low,Mid Floor
1.85,sector 79,1946.0,3,4,3+,1,New Property,0,Low,High Floor
0.86,sector 89,998.0,2,3,3,0,Under Construction,0,Low,Mid Floor
1.85,sector 102,2250.0,3,3,3+,1,Relatively New,2,Medium,Low Floor
2.85,sector 113,2006.0,3,3,3+,1,New Property,0,Medium,Mid Floor
0.42,sector 36,590.0,2,2,1,0,New Property,0,Low,Mid Floor
6.15,sector 65,3355.0,3,4,2,0,Relatively New,0,Low,High Floor
6.25,sector 48,3200.0,3,5,3+,1,Moderately Old,2,Low,Mid Floor
0.42,sector 37c,833.0,2,2,2,0,Relatively New,0,Low,Mid Floor
1.35,sector 3,1056.0,2,2,0,0,Old Property,0,Medium,Mid Floor
1.6,sector 110,594.0,2,2,2,0,Relatively New,0,Low,Low Floor
3.25,sector 43,3115.0,4,4,3+,1,Moderately Old,2,Medium,High Floor
0.45,sector 88a,695.0,2,2,1,0,New Property,0,Low,Mid Floor
0.85,sector 92,1300.0,3,2,2,0,Relatively New,0,Low,High Floor
0.75,sector 90,1444.0,2,2,3,0,Relatively New,0,Medium,Mid Floor
0.82,sector 68,1068.0,2,2,3+,1,Under Construction,0,Medium,High Floor
1.8,sector 109,1910.0,3,3,2,1,Moderately Old,0,Medium,Low Floor
0.3,sohna road,605.0,2,2,2,0,New Property,0,Medium,Mid Floor
0.78,sector 37c,1068.1,2,2,3,0,Moderately Old,2,Medium,Low Floor
2.0,sector 43,1467.0,3,3,2,1,Old Property,1,Low,Low Floor
0.74,sohna road,1344.0,2,2,3+,0,New Property,0,Medium,High Floor
3.2,sector 106,2224.0,3,3,3+,1,Under Construction,0,Low,Mid Floor
1.3,sector 82,1774.0,4,4,3+,1,Relatively New,0,Medium,Low Floor
0.25,sector 3 phase 3 extension,778.0,2,2,2,0,Relatively New,0,Low,Low Floor
0.95,sohna road,1210.73,3,2,3+,0,Relatively New,0,Low,Low Floor
1.99,sector 90,3030.0,4,4,3+,2,Relatively New,2,Medium,Mid Floor
1.05,sector 106,1539.0,2,2,2,0,New Property,0,Medium,Mid Floor
1.83,sector 85,2032.0,3,3,3+,0,Under Construction,0,Medium,High Floor
2.25,sector 82a,2333.0,3,3,3+,1,Relatively New,1,Medium,High Floor
2.8,sector 65,1833.0,3,3,3+,2,Relatively New,2,Low,Mid Floor
1.6,sector 28,1222.0,2,2,2,0,Relatively New,0,Medium,Mid Floor
0.83,sector 79,1700.0,2,2,3,1,New Property,1,Low,Mid Floor
0.83,sohna road,1244.0,3,2,2,0,New Property,0,Low,Low Floor
0.8,sector 10a,1389.0,2,3,2,0,New Property,0,Low,Mid Floor
1.25,manesar,2946.0,4,4,3+,0,Moderately Old,2,Low,Mid Floor
0.23,block a sector 21,511.0,1,1,1,0,Relatively New,0,Low,Low Floor
0.3,sector 84,500.0,1,1,1,0,New Property,2,Low,High Floor
1.55,sector 33,1421.0,3,4,1,1,Relatively New,0,Low,Low Floor
0.79,sector 71,1084.0,2,2,2,1,Relatively New,0,Low,Mid Floor
0.5,sector-7 hous,824.0,2,2,2,1,Moderately Old,0,Low,Low Floor
1.01,sohna road,1184.0,2,2,3,1,Under Construction,0,Medium,High Floor
0.95,sector 92,1717.0,4,5,3+,1,Moderately Old,0,Low,Mid Floor
0.99,sector 77,1126.0,2,2,2,0,Relatively New,0,Medium,Low Floor
1.1,sector 37d,1561.0,3,3,3+,0,Under Construction,0,Medium,Mid Floor
1.9,sector 67a,1991.0,4,4,3,0,New Property,2,Medium,Mid Floor
1.0,sector 37c,1697.0,3,3,3+,0,Under Construction,0,Medium,Mid Floor
2.5,sector 57,2036.0,3,3,3,0,Moderately Old,0,Medium,Mid Floor
1.1,sector 3,956.0,2,2,2,0,Under Construction,0,Medium,High Floor
0.29,sector 95,507.0,2,2,2,0,Relatively New,0,Medium,High Floor
0.55,sector 95,990.0,2,2,3,0,New Property,0,Low,High Floor
0.65,sector 92,1240.0,3,2,3,0,Relatively New,0,Low,Mid Floor
0.5,sohna road,591.0,2,2,2,0,New Property,0,Low,Mid Floor
0.32,sector 99a,577.0,2,2,1,0,New Property,0,Low,Low Floor
0.93,sector 103,1613.0,2,3,3,1,Relatively New,2,Medium,Mid Floor
1.2,sector 89,1581.0,3,3,2,0,New Property,0,Low,Low Floor
0.3,sohna road,711.0,2,2,2,0,Relatively New,0,Low,Mid Floor
0.56,sohna road,913.0,2,2,3,0,New Property,0,Medium,Mid Floor
2.7,sector 49,1954.0,3,4,3+,0,Moderately Old,0,Low,Mid Floor
